"Id","Category","Slug","Name","Original name","Production year","Episodes","Seasons","Duration","Description","Genres","Genres2","Genres3","Country","Age"
"05932f22-c94b-472f-8296-c8caf58e4383","1","hardkor-4cbfdc2e-fd85-4fc8-891c-a4b1a45c0e6a","Хардкор",,"2016",,,,,"Боевик","Фантастика",,,"18"
"0597f3e4-18ad-4a5b-9b3a-e7444249f763","1","nelegkoe-schaste","Нелегкое счастье",,"2016",,,,,"Мелодрама",,,,"12"
"059bc020-37d1-4ad2-93ec-73e760d6266d","1","smeisya-ubiitsa-smeisya","Смейся, убийца, смейся","Laugh Killer Laugh","2015",,,,,"Драма",,"Криминал","2","16"
"059ddd8d-73b8-4ddd-bff1-f86ffbed752f","1","v-sleduuschii-raz-ya-budu-strelyat-v-serdtse","В следующий раз я буду стрелять в сердце","La prochaine fois je viserai le coeur","2015",,,,,"Драма","Триллер",,"2","18"
"059eb769-bbe3-48c4-9ddf-9320eeb725bc","1","kino-pro-alekseeva-5f8dec78-533c-4f57-9123-9c80589fd935","Кино про Алексеева",,"2014",,,,,"Драма",,,,"12"
"05a0f978-b20e-418d-9062-9024a65d3465","1","kvazhdy-kva-6ccbc91f-d05e-46e6-afa8-7deadd992d0e","Кважды ква","Kvazhdy kva","1990",,,,,,,"Мультфильм","1","6"
"05b4acd6-aed0-43a5-bc6c-77874f12a58b","1","my-zdes-zhivem","Мы здесь живем","Біз осында тұрамыз","1956",,,,,"Драма",,,,"12"
"05d50f44-8533-49bc-9461-100307d657dc","1","ona-ego-obozhaet","Она его обожает","Elle l'adore","2014",,,,,,"Комедия",,"2","16"
"05d8466d-37a9-46b7-a7d9-8ce6f9b19964","1","pavlinii-hvost-1e9e0671-f6ae-44da-935d-e124600b94f7","Павлиний хвост","Paví ocas","1946",,,,,,,"Мультфильм","1","6"
"05daf31b-c80d-4524-b1fb-fd3caf19258f","1","moi-luchshii-drug","Мой лучший друг","Mon meilleur ami","2006",,,,,,"Комедия",,"2","16"
"05f30fea-78cc-437e-975d-f494221241be","1","chego-hochet-dzhuletta","Чего хочет Джульетта","L'embarras du choix","2017",,,,,,"Комедия","Мелодрама","2","16"
"060422d1-3952-47c1-ae77-18ebe335eed2","1","volkodav","Волкодав из рода Серых Псов","Wolfhound","2006",,,,,,"Приключения","Фантастика","1","16"
"0607bc99-5b33-481b-89ec-ae5de8b6fb19","1","kain-xviii","Каин XVIII",,"1963",,,,,,"Приключения","Мелодрама","1","6"
"061c0613-cc69-4fd9-8334-ebdff13d92d6","1","krovavaya-grafinya-batori","Кровавая графиня - Батори","Bathory","2008",,,,,"Драма",,"Фантастика","2","16"
"061d4454-e30d-421c-a6a4-81d232a3f1de","1","supergeroiskoe-kino-d48f0e39-e4c7-4de3-887d-7cb6d60f5e85","Супергеройское кино","Superhero Movie","2008",,,,,"Фантастика","Боевик","Триллер",,"16"
"061ec3fd-43f5-435d-b981-18a8527f2058","1","13-i-raion-kirpichnye-osobnyaki","13-й район: Кирпичные особняки","Brick Mansions","2014",,,,,,"Боевик","Криминал","2","16"
